Timestamp | Device_ID | Heart_Rate (BPM) | Status
2026-06-02 09:11:07 | WARD_A_HR_01 | 119 | CRITICAL
2026-06-02 09:11:07 | WARD_A_HR_02 | 129 | CRITICAL
2026-06-02 09:11:07 | WARD_A_HR_03 | 49 | CRITICAL
2026-06-02 09:11:07 | WARD_A_HR_04 | 95 | WARNING
2026-06-02 09:11:07 | WARD_A_HR_05 | 138 | CRITICAL
2026-06-02 09:11:08 | WARD_A_HR_01 | 119 | CRITICAL
2026-06-02 09:11:08 | WARD_A_HR_02 | 104 | CRITICAL
2026-06-02 09:11:08 | WARD_A_HR_03 | 99 | WARNING
2026-06-02 09:11:08 | WARD_A_HR_04 | 104 | CRITICAL
2026-06-02 09:11:08 | WARD_A_HR_05 | 133 | CRITICAL
2026-06-02 09:11:09 | WARD_A_HR_01 | 114 | CRITICAL
2026-06-02 09:11:09 | WARD_A_HR_02 | 138 | CRITICAL
2026-06-02 09:11:09 | WARD_A_HR_03 | 145 | CRITICAL
2026-06-02 09:11:09 | WARD_A_HR_04 | 119 | CRITICAL
2026-06-02 09:11:09 | WARD_A_HR_05 | 148 | CRITICAL
2026-06-02 09:11:10 | WARD_A_HR_01 | 75 | NORMAL
2026-06-02 09:11:10 | WARD_A_HR_02 | 115 | CRITICAL
2026-06-02 09:11:10 | WARD_A_HR_03 | 96 | WARNING
2026-06-02 09:11:10 | WARD_A_HR_04 | 130 | CRITICAL
2026-06-02 09:11:10 | WARD_A_HR_05 | 110 | CRITICAL
2026-06-02 09:11:11 | WARD_A_HR_01 | 146 | CRITICAL
2026-06-02 09:11:11 | WARD_A_HR_02 | 100 | WARNING
2026-06-02 09:11:11 | WARD_A_HR_03 | 110 | CRITICAL
2026-06-02 09:11:11 | WARD_A_HR_04 | 129 | CRITICAL
2026-06-02 09:11:11 | WARD_A_HR_05 | 82 | NORMAL
2026-06-02 09:11:12 | WARD_A_HR_01 | 74 | NORMAL
2026-06-02 09:11:12 | WARD_A_HR_02 | 135 | CRITICAL
2026-06-02 09:11:12 | WARD_A_HR_03 | 149 | CRITICAL
2026-06-02 09:11:12 | WARD_A_HR_04 | 130 | CRITICAL
